created_at,favorite_count,followers_count,friends_count,retweet_count,screen_name,text
Tue Feb 20 23:14:14 +0000 2018,0,145,1569,59,ROBINEYOUNG1,RT @crazymarolive: #KeatonJones mama got me messed up! https://t.co/yXOyFHAuGY
Tue Feb 20 23:07:07 +0000 2018,0,1145,2445,2,DeanoTheBeano72,This poor soul. Kids can be so bloody cruell. I was bullied at school and it got to the stage that I just expected… https://t.co/n9DVMQD6r9
Tue Feb 20 22:46:42 +0000 2018,0,12,229,607,Desiflo33,RT @iamlatocha: i need each and everyone of yall to repost &amp; retweet this! #XSCAPE #KeatonJones https://t.co/HEgelrqMdU
Tue Feb 20 21:18:08 +0000 2018,0,64,79,4,KadedollaDolla,RT @BrownEyeEnt: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on #S…
Tue Feb 20 14:52:17 +0000 2018,0,6202,5682,2008,thatsmydea,RT @ufc: If any of you have any info on how to connect #KeatonJones with @DanaWhite please let us know! https://t.co/XeATQ2R4cx
Tue Feb 20 04:27:29 +0000 2018,0,693,1151,4,Kadesile,RT @BrownEyeEnt: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on #S…
Mon Feb 19 11:37:29 +0000 2018,0,281,727,2,JerodMcCain,RT @realbrownbody: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on…
Mon Feb 19 11:36:27 +0000 2018,0,281,727,4,JerodMcCain,RT @BrownEyeEnt: #Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcast on #S…
Mon Feb 19 03:45:22 +0000 2018,5,12,11,4,BrownEyeEnt,#Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas… https://t.co/2ieQNHOr2V
Mon Feb 19 03:45:22 +0000 2018,3,339,525,2,realbrownbody,#Petty (Ep.23) (BULLY ADDITION) #Kevindurant a bully now? / #Keatonjones racist bully? / Top petty by #Petty Podcas… https://t.co/4DYu8kxrOv
